#Channel_number,Time,Counts
264,4.424858757062147,10.0
265,4.441619585687382,15.0
266,4.458380414312617,9.0
267,4.475141242937853,13.0
268,4.491902071563088,11.0
269,4.508662900188323,13.0
270,4.525423728813559,8.0
271,4.5421845574387945,11.0
272,4.55894538606403,12.0
273,4.575706214689265,9.0
274,4.5924670433145005,9.0
275,4.609227871939736,11.0
276,4.625988700564972,11.0
277,4.642749529190207,4.0
278,4.659510357815442,11.0
279,4.676271186440678,7.0
280,4.693032015065913,8.0
281,4.709792843691148,17.0
282,4.726553672316384,8.0
283,4.7433145009416195,8.0
284,4.760075329566854,11.0
285,4.77683615819209,7.0
286,4.793596986817326,9.0
287,4.810357815442561,16.0
288,4.827118644067796,11.0
289,4.843879472693032,6.0
290,4.860640301318267,7.0
291,4.877401129943502,8.0
292,4.894161958568738,14.0
293,4.910922787193973,11.0
294,4.927683615819209,17.0
295,4.944444444444444,11.0
296,4.961205273069679,14.0
297,4.977966101694915,11.0
298,4.994726930320151,12.0
299,5.0114877589453855,9.0
300,5.028248587570621,11.0
301,5.045009416195857,9.0
302,5.0617702448210915,13.0
303,5.078531073446327,14.0
304,5.095291902071563,9.0
305,5.112052730696798,14.0
306,5.128813559322033,13.0
307,5.145574387947269,8.0
308,5.1623352165725045,9.0
309,5.17909604519774,11.0
310,5.195856873822975,12.0
311,5.2126177024482105,10.0
312,5.229378531073446,12.0
313,5.246139359698681,12.0
314,5.262900188323917,11.0
315,5.279661016949152,10.0
316,5.296421845574388,7.0
317,5.313182674199623,14.0
318,5.329943502824858,7.0
319,5.346704331450094,10.0
320,5.363465160075329,13.0
321,5.380225988700564,8.0
322,5.3969868173258,10.0
323,5.413747645951036,6.0
324,5.43050847457627,14.0
325,5.447269303201506,14.0
326,5.464030131826742,8.0
327,5.480790960451977,10.0
328,5.497551789077212,5.0
329,5.514312617702448,15.0
330,5.531073446327683,7.0
331,5.547834274952918,18.0
332,5.564595103578154,13.0
333,5.581355932203389,10.0
334,5.598116760828625,5.0
335,5.61487758945386,11.0
336,5.6316384180790955,17.0
337,5.648399246704331,13.0
338,5.665160075329567,7.0
339,5.6819209039548015,11.0
340,5.698681732580037,7.0
341,5.715442561205273,7.0
342,5.732203389830508,7.0
343,5.748964218455743,10.0
344,5.765725047080979,10.0
345,5.7824858757062145,6.0
346,5.799246704331449,14.0
347,5.816007532956685,13.0
348,5.832768361581921,7.0
349,5.849529190207156,14.0
350,5.866290018832391,9.0
351,5.883050847457627,3.0
352,5.899811676082862,7.0
353,5.916572504708097,5.0
354,5.933333333333333,10.0
355,5.950094161958568,11.0
356,5.966854990583804,17.0
357,5.983615819209039,9.0
358,6.000376647834274,7.0
359,6.01713747645951,7.0
360,6.033898305084746,4.0
361,6.05065913370998,9.0
362,6.067419962335216,5.0
363,6.084180790960452,13.0
364,6.1009416195856865,9.0
365,6.117702448210922,7.0
366,6.134463276836158,13.0
367,6.151224105461393,6.0
368,6.167984934086628,11.0
369,6.184745762711864,9.0
370,6.2015065913370995,11.0
371,6.218267419962335,11.0
372,6.23502824858757,7.0
373,6.2517890772128055,4.0
374,6.268549905838041,5.0
375,6.285310734463276,4.0
376,6.302071563088512,8.0
377,6.318832391713747,10.0
378,6.335593220338983,14.0
379,6.352354048964218,8.0
380,6.369114877589453,7.0
381,6.385875706214689,3.0
382,6.402636534839925,4.0
383,6.419397363465159,10.0
384,6.436158192090395,8.0
385,6.452919020715631,13.0
386,6.469679849340865,14.0
387,6.486440677966101,4.0
388,6.503201506591337,2.0
389,6.519962335216572,2.0
390,6.536723163841807,8.0
391,6.553483992467043,6.0
392,6.570244821092278,12.0
393,6.587005649717514,10.0
394,6.603766478342749,8.0
395,6.620527306967984,5.0
396,6.63728813559322,7.0
397,6.654048964218455,8.0
398,6.6708097928436905,6.0
399,6.687570621468926,6.0
400,6.704331450094162,8.0
401,6.7210922787193965,8.0
402,6.737853107344632,7.0
403,6.754613935969868,9.0
404,6.7713747645951035,6.0
405,6.788135593220338,3.0
406,6.804896421845574,9.0
407,6.8216572504708095,8.0
408,6.838418079096044,6.0
409,6.85517890772128,6.0
410,6.871939736346516,11.0
411,6.888700564971751,6.0
412,6.905461393596986,2.0
413,6.922222222222222,9.0
414,6.938983050847457,7.0
415,6.955743879472693,10.0
416,6.972504708097928,3.0
417,6.989265536723163,2.0
418,7.006026365348399,9.0
419,7.022787193973634,6.0
420,7.039548022598869,8.0
421,7.056308851224105,7.0
422,7.073069679849341,5.0
423,7.089830508474575,8.0
424,7.106591337099811,14.0
425,7.123352165725047,5.0
426,7.140112994350282,4.0
427,7.156873822975517,4.0
428,7.173634651600753,7.0
429,7.190395480225988,7.0
430,7.207156308851223,10.0
431,7.223917137476459,8.0
432,7.2406779661016945,10.0
433,7.25743879472693,13.0
434,7.274199623352165,12.0
435,7.2909604519774005,7.0
436,7.307721280602636,4.0
437,7.324482109227872,8.0
438,7.3412429378531066,10.0
439,7.358003766478342,10.0
440,7.374764595103578,7.0
441,7.391525423728813,7.0
442,7.408286252354048,8.0
443,7.425047080979284,6.0
444,7.4418079096045195,1.0
445,7.458568738229754,10.0
446,7.47532956685499,7.0
447,7.492090395480226,4.0
448,7.508851224105461,9.0
449,7.525612052730696,12.0
450,7.542372881355932,6.0
451,7.559133709981167,5.0
452,7.575894538606402,5.0
453,7.592655367231638,9.0
454,7.609416195856873,8.0
455,7.626177024482109,8.0
456,7.642937853107344,8.0
457,7.659698681732579,7.0
458,7.676459510357815,13.0
459,7.69322033898305,6.0
460,7.7099811676082854,5.0
461,7.726741996233521,2.0
462,7.743502824858757,4.0
463,7.7602636534839915,9.0
464,7.777024482109227,3.0
465,7.793785310734463,9.0
466,7.810546139359698,8.0
467,7.827306967984933,6.0
468,7.844067796610169,18.0
469,7.8608286252354045,8.0
470,7.877589453860639,9.0
471,7.894350282485875,4.0
472,7.9111111111111105,9.0
473,7.927871939736346,10.0
474,7.944632768361581,6.0
475,7.961393596986817,6.0
476,7.978154425612052,7.0
477,7.994915254237288,5.0
478,8.011676082862524,4.0
479,8.02843691148776,8.0
480,8.045197740112993,9.0
481,8.061958568738229,4.0
482,8.078719397363464,5.0
483,8.0954802259887,4.0
484,8.112241054613936,8.0
485,8.129001883239171,4.0
486,8.145762711864407,7.0
487,8.16252354048964,11.0
488,8.179284369114876,5.0
489,8.196045197740112,14.0
490,8.212806026365348,10.0
491,8.229566854990583,3.0
492,8.246327683615819,7.0
493,8.263088512241055,2.0
494,8.279849340866289,7.0
495,8.296610169491524,8.0
496,8.31337099811676,12.0
497,8.330131826741995,4.0
498,8.346892655367231,7.0
499,8.363653483992467,5.0
500,8.380414312617702,4.0
501,8.397175141242938,7.0
502,8.413935969868172,10.0
503,8.430696798493408,6.0
504,8.447457627118643,6.0
505,8.464218455743879,4.0
506,8.480979284369115,7.0
507,8.49774011299435,7.0
508,8.514500941619586,8.0
509,8.53126177024482,11.0
510,8.548022598870055,2.0
511,8.564783427495291,6.0
512,8.581544256120527,7.0
513,8.598305084745762,13.0
514,8.615065913370998,5.0
515,8.631826741996234,5.0
516,8.648587570621467,10.0
517,8.665348399246703,7.0
518,8.682109227871939,6.0
519,8.698870056497174,7.0
520,8.71563088512241,4.0
521,8.732391713747646,8.0
522,8.749152542372881,8.0
523,8.765913370998115,13.0
524,8.78267419962335,8.0
525,8.799435028248586,7.0
526,8.816195856873822,2.0
527,8.832956685499058,6.0
528,8.849717514124293,12.0
529,8.866478342749529,10.0
530,8.883239171374765,5.0
531,8.899999999999999,4.0
532,8.916760828625234,7.0
533,8.93352165725047,4.0
534,8.950282485875706,4.0
535,8.967043314500941,3.0
536,8.983804143126177,3.0
537,9.000564971751412,8.0
538,9.017325800376646,6.0
539,9.034086629001882,7.0
540,9.050847457627118,3.0
541,9.067608286252353,6.0
542,9.084369114877589,7.0
543,9.101129943502825,7.0
544,9.11789077212806,8.0
545,9.134651600753294,5.0
546,9.15141242937853,5.0
547,9.168173258003765,7.0
548,9.184934086629001,5.0
549,9.201694915254237,12.0
550,9.218455743879472,8.0
551,9.235216572504708,2.0
552,9.251977401129944,6.0
553,9.268738229755177,13.0
554,9.285499058380413,7.0
555,9.302259887005649,5.0
556,9.319020715630884,8.0
557,9.33578154425612,10.0
558,9.352542372881356,7.0
559,9.369303201506591,3.0
560,9.386064030131825,7.0
561,9.40282485875706,7.0
562,9.419585687382297,7.0
563,9.436346516007532,5.0
564,9.453107344632768,6.0
565,9.469868173258003,3.0
566,9.486629001883239,9.0
567,9.503389830508473,7.0
568,9.520150659133709,5.0
569,9.536911487758944,6.0
570,9.55367231638418,9.0
571,9.570433145009416,5.0
572,9.587193973634651,2.0
573,9.603954802259887,8.0
574,9.620715630885122,7.0
575,9.637476459510356,9.0
576,9.654237288135592,5.0
577,9.670998116760828,7.0
578,9.687758945386063,5.0
579,9.704519774011299,5.0
580,9.721280602636535,3.0
581,9.73804143126177,8.0
582,9.754802259887004,6.0
583,9.77156308851224,7.0
584,9.788323917137475,5.0
585,9.805084745762711,5.0
586,9.821845574387947,4.0
587,9.838606403013182,10.0
588,9.855367231638418,7.0
589,9.872128060263652,5.0
590,9.888888888888888,6.0
591,9.905649717514123,9.0
592,9.922410546139359,7.0
593,9.939171374764594,9.0
594,9.95593220338983,3.0
595,9.972693032015066,6.0
596,9.989453860640301,11.0
597,10.006214689265535,7.0
598,10.022975517890771,7.0
599,10.039736346516007,6.0
600,10.056497175141242,6.0
601,10.073258003766478,3.0
602,10.090018832391713,4.0
603,10.10677966101695,6.0
604,10.123540489642183,6.0
605,10.140301318267419,5.0
606,10.157062146892654,5.0
607,10.17382297551789,7.0
608,10.190583804143126,4.0
609,10.207344632768361,7.0
610,10.224105461393597,6.0
611,10.24086629001883,5.0
612,10.257627118644066,6.0
613,10.274387947269302,6.0
614,10.291148775894538,10.0
615,10.307909604519773,2.0
616,10.324670433145009,10.0
617,10.341431261770245,6.0
618,10.35819209039548,13.0
619,10.374952919020714,7.0
620,10.39171374764595,7.0
621,10.408474576271185,8.0
622,10.425235404896421,11.0
623,10.441996233521657,12.0
624,10.458757062146892,4.0
625,10.475517890772128,2.0
626,10.492278719397362,5.0
627,10.509039548022598,2.0
628,10.525800376647833,6.0
629,10.542561205273069,6.0
630,10.559322033898304,3.0
631,10.57608286252354,10.0
632,10.592843691148776,10.0
633,10.60960451977401,4.0
634,10.626365348399245,6.0
635,10.643126177024481,9.0
636,10.659887005649717,3.0
637,10.676647834274952,7.0
638,10.693408662900188,4.0
639,10.710169491525424,8.0
640,10.726930320150657,1.0
641,10.743691148775893,12.0
642,10.760451977401129,7.0
643,10.777212806026364,9.0
644,10.7939736346516,8.0
645,10.810734463276836,8.0
646,10.827495291902071,5.0
647,10.844256120527307,6.0
648,10.86101694915254,3.0
649,10.877777777777776,5.0
650,10.894538606403012,7.0
651,10.911299435028248,5.0
652,10.928060263653483,7.0
653,10.944821092278719,6.0
654,10.961581920903955,4.0
655,10.978342749529189,4.0
656,10.995103578154424,5.0
657,11.01186440677966,11.0
658,11.028625235404895,10.0
659,11.045386064030131,5.0
660,11.062146892655367,2.0
661,11.078907721280602,3.0
662,11.095668549905836,8.0
663,11.112429378531072,7.0
664,11.129190207156308,6.0
665,11.145951035781543,4.0
666,11.162711864406779,7.0
667,11.179472693032015,1.0
668,11.19623352165725,8.0
669,11.212994350282486,9.0
670,11.22975517890772,5.0
671,11.246516007532955,4.0
672,11.263276836158191,6.0
673,11.280037664783427,9.0
674,11.296798493408662,4.0
675,11.313559322033898,6.0
676,11.330320150659134,6.0
677,11.347080979284367,7.0
678,11.363841807909603,11.0
679,11.380602636534839,7.0
680,11.397363465160074,5.0
681,11.41412429378531,9.0
682,11.430885122410546,6.0
683,11.447645951035781,6.0
684,11.464406779661015,8.0
685,11.48116760828625,8.0
686,11.497928436911486,4.0
687,11.514689265536722,9.0
688,11.531450094161958,7.0
689,11.548210922787193,6.0
690,11.564971751412429,6.0
691,11.581732580037665,7.0
692,11.598493408662899,7.0
693,11.615254237288134,7.0
694,11.63201506591337,5.0
695,11.648775894538606,8.0
696,11.665536723163841,6.0
